iter	Logloss
0	0.6923433348
1	0.6912132086
2	0.6900049254
3	0.6890509849
4	0.6889400039
5	0.687894422
6	0.6866530485
7	0.6859407203
8	0.6847194405
9	0.6837923804
10	0.682733935
11	0.6815471206
12	0.6804469796
13	0.67948643
14	0.6783975113
15	0.6777270117
16	0.6767232584
17	0.6761063864
18	0.6752139247
19	0.6749783006
20	0.6742135869
21	0.6740123837
22	0.6733024952
23	0.6723707332
24	0.6713321597
25	0.6705355977
26	0.6695103756
27	0.6685298654
28	0.6676867285
29	0.6669915665
30	0.6661074439
31	0.6652059333
32	0.6644323482
33	0.6639430911
34	0.6629570362
35	0.6619708039
36	0.6614473032
37	0.6606842751
38	0.6597291813
39	0.6589771537
40	0.6581688371
41	0.6578284862
42	0.6568996962
43	0.6560265297
44	0.6552843493
45	0.6544579794
46	0.6537319449
47	0.6529876354
48	0.6522866183
49	0.651825306
50	0.651341283
51	0.6504908717
52	0.6496877005
53	0.6493561323
54	0.6485997577
55	0.6479246006
56	0.647320326
57	0.646714277
58	0.6459724071
59	0.6452775112
60	0.6445604369
61	0.6443718755
62	0.6437030171
63	0.6428442667
64	0.6426678147
65	0.6418370979
66	0.6410616941
67	0.6403458617
68	0.639527343
69	0.6389410329
70	0.638193441
71	0.6378876886
72	0.637735145
73	0.6370025457
74	0.6367294844
75	0.6361367425
76	0.6357988757
77	0.6350966165
78	0.6343889015
79	0.6340890042
80	0.6333569371
81	0.6331953891
82	0.6325362893
83	0.6320265836
84	0.631392856
85	0.6307430711
86	0.63010096
87	0.6293518599
88	0.6285642136
89	0.6280308657
90	0.6276165718
91	0.6270012079
92	0.6263888159
93	0.6260617278
94	0.6255162705
95	0.624859699
96	0.6241970506
97	0.6239847582
98	0.6234466198
99	0.6229321679
100	0.6224228615
101	0.6218434267
102	0.6212541447
103	0.6208127931
104	0.6205632409
105	0.6201540925
106	0.6198546831
107	0.6192199352
108	0.6190989295
109	0.6188065285
110	0.6183165617
111	0.6175837849
112	0.6168585489
113	0.6164070839
114	0.6157463429
115	0.6150776619
116	0.6146489077
117	0.6141294879
118	0.6136507434
119	0.612954428
120	0.6125080641
121	0.6119446865
122	0.6113167696
123	0.6110003715
124	0.6108729784
125	0.6105233126
126	0.609979319
127	0.6098461595
128	0.6093051822
129	0.6088124209
130	0.6082826659
131	0.6077028319
132	0.6070832541
133	0.6066250468
134	0.606021615
135	0.6054097109
136	0.6052867091
137	0.6047422276
138	0.6040984309
139	0.6035789667
140	0.6030674424
141	0.6025143113
142	0.6021940985
143	0.6021693474
144	0.6016748118
145	0.601275067
146	0.6007359083
147	0.6002814714
148	0.5998119975
149	0.5992766979
150	0.5991394132
151	0.5988009697
152	0.5982848323
153	0.5981323774
154	0.5976520804
155	0.5971620249
156	0.5965982038
157	0.5961273548
158	0.5957557323
159	0.5952056175
160	0.5946807861
161	0.5944218303
162	0.5942564232
163	0.593839601
164	0.5936358252
165	0.5930429947
166	0.5925679318
167	0.592048645
168	0.5918021091
169	0.5912654788
170	0.5907763991
171	0.5905824706
172	0.5901759835
173	0.5896631729
174	0.5894015113
175	0.5890966016
176	0.5886008684
177	0.5883099756
178	0.58825759
179	0.5880367368
180	0.5875748479
181	0.5870929541
182	0.5870580895
183	0.5867860484
184	0.5864237408
185	0.5862585999
186	0.5861417194
187	0.5860371701
188	0.585611299
189	0.5852446445
190	0.5849726477
191	0.584511025
192	0.5843345287
193	0.5839974603
194	0.5837328268
195	0.5835945218
196	0.5832637077
197	0.5829379503
198	0.5826153866
199	0.5824861748
200	0.5820805306
201	0.5816538611
202	0.5812471079
203	0.5808168456
204	0.5804460215
205	0.5802627386
206	0.5797811553
207	0.5792528197
208	0.5792326373
209	0.5788479295
210	0.578487618
211	0.5782322551
212	0.5781493963
213	0.5777315983
214	0.5776197744
215	0.5772092509
216	0.577002237
217	0.5765142663
218	0.5762522498
219	0.5757639242
220	0.5752913896
221	0.5752134101
222	0.5749524139
223	0.5745132358
224	0.5742629739
225	0.573877379
226	0.5733003395
227	0.5728391159
228	0.572678943
229	0.5722466846
230	0.5719877287
231	0.5715721485
232	0.571120861
233	0.5707015991
234	0.5702945354
235	0.5698830804
236	0.5695111474
